Moisture,CDS,Humidity,Temperature
517,58,80,27
531,51,80,27
522,51,80,27
527,51,80,28
527,51,80,28
529,52,80,28
526,52,80,28
528,52,80,28
527,52,80,28
523,53,80,28
527,53,79,28
525,53,79,28
522,53,79,28
527,54,79,28
529,54,78,28
521,54,78,28
528,54,78,28
527,54,77,28
528,54,77,28
525,54,77,28
525,54,76,28
532,54,76,28
526,54,76,28
529,55,76,28
521,55,75,28
527,55,74,28
530,54,74,28
527,54,74,28
523,54,73,28
526,54,73,28
528,54,73,28
530,53,72,28
530,53,72,28
530,53,72,28
526,53,71,28
527,52,71,28
522,52,70,28
530,52,70,28
527,52,70,28
526,52,69,28
526,52,69,28
526,52,69,28
523,52,68,28
525,52,68,28
524,52,68,28
525,53,68,28
524,53,67,28
523,53,67,28
525,53,67,28
520,54,66,28
524,52,66,28
525,51,66,28
525,50,65,28
533,50,65,28
525,49,65,28
528,49,64,28
523,50,64,29
521,50,64,29
522,50,64,29
530,50,64,29
524,50,63,29
526,50,63,29
523,50,63,29
517,50,63,29
521,50,63,29
523,49,62,29
522,50,62,29
522,49,62,29
520,49,62,29
519,49,62,29
524,49,62,29
521,49,62,29
520,48,61,29
521,48,61,29
518,47,61,29
522,46,61,29
525,46,61,29
525,47,61,29
521,47,60,29
523,48,60,29
521,47,60,29
516,47,60,29
520,48,60,29
521,47,60,29
525,47,60,29
520,47,60,29
519,48,60,29
515,47,60,29
520,48,60,29
514,48,59,29
520,47,59,29
518,47,59,29
515,47,59,29
522,48,59,29
521,48,59,29
520,47,59,29
521,47,59,29
526,48,60,29
520,47,59,29
520,47,59,29
517,48,59,29
524,48,59,29
522,48,59,29
518,49,59,29
522,46,59,29
521,47,59,29
522,46,59,29
523,47,58,29
529,45,58,29
516,46,58,29
522,48,58,29
520,48,58,29
522,48,58,29
527,48,58,29
520,47,58,29
520,47,58,29
520,48,58,29
521,47,58,29
520,47,58,29
517,47,58,29
516,47,58,29
518,47,58,29
515,47,57,29
518,46,57,29
524,47,57,29
523,47,57,29
518,47,57,29
519,48,57,29
515,48,57,29
520,46,57,29
522,47,57,29
521,47,57,29
517,48,57,29
518,47,57,29
525,48,57,29
519,48,57,29
519,48,56,29
520,48,56,29
517,47,56,29
517,47,56,29
525,47,56,29
518,47,56,29
516,46,56,29
523,47,56,29
520,46,57,29
519,46,57,29
523,47,57,29
513,47,57,29
523,47,57,29
519,47,57,29
518,45,57,29
522,46,57,29
517,45,57,29
514,45,58,29
507,45,58,29
511,45,58,29
518,45,58,29
518,45,58,29
520,45,57,29
513,46,57,29
515,45,57,29
519,45,57,29
514,45,58,29
520,45,58,29
516,45,58,29
508,45,58,29
514,46,58,29
521,46,58,29
517,47,58,29
516,46,58,29
516,46,59,29
517,46,59,29
514,46,59,29
509,44,59,29
515,44,59,29
518,44,59,29
513,46,59,29
513,45,60,29
512,45,61,29
511,45,60,29
513,44,60,29
512,45,60,29
513,45,61,29
505,46,61,29
516,46,61,29
514,46,61,29
512,46,61,29
510,47,62,29
509,47,62,29
513,47,62,29
507,48,62,29
511,48,63,29
